148,2
200,1
547,2
891,1
314,1
69,4
138,1
153,3
1019,1
626,1
14925,1
169,4
81,2
166,1
158,1
993,1
1238,1
260,1
512,1
93,4
961,1
237,1
109,2
264,1
112,1
78,5
709,1
205,2
173,1
594,2
493,1
201,1
403,1
65,3
452,3
10212,1
1078,1
383,1
337,1
232,1
145,1
1484,1
315,1
131,1
485,2
150,1
308,1
962,1
107,3
298,1
2313,1
449,1
356,1
442,1
289,1
889,1
191,3
178,1
395,1
240,2
838,1
224,1
92,2
468,1
1156,1
282,1
359,1
250,3
595,1
98625,1
411,1
491,1
119,1
957,1
163,3
325,1
381,1
353,1
744,1
257,1
1850,1
258,1
535,1
86,2
179,1
8709,1
311,2
23455,1
267,1
780,1
125144,1
398,1
439,1
476,1
514,1
489,1
204,1
228,1
113,1
588,1
424,2
3078,1
355,1
276,1
685,1
236,2
318,1
467,1
273,1
79,5
265,2
17997,1
175,1
400,2
490,1
210,2
247,1
90,2
223,1
167,1
199,1
242,1
327,1
98,4
1171,1
629,1
1629,1
212,2
83,2
284,1
562,1
3726,1
245,2
347,2
170,4
488,1
376,1
132,2
147,1
106,6
459,1
504,1
87,3
188,2
312,1
274,2
198,1
118,1
317,2
91,3
544,1
472,1
218,1
293,1
222,1
238,1
184,2
206,2
187,1
75,2
1121,1
221,1
336,1
144,1
534,1
271,1
577,1
419,1
533,1
217,2
207,1
313,1
235,1
417,1
363,1
129,1
291,1
44385,1
181,1
219,2
263,1
151,1
243,1
261,2
309,1
195,1
658,1
211,1
278,1
699,1
176,1
225,1
328,2
358,1
301,1
255,1
239,3
1,240441
2,1573
3,910
4,655
5,549
6,420
7,394
8,365
9,291
10,224
11,192
12,182
13,160
14,151
15,148
16,115
17,124
18,76
19,106
20,77
21,58
22,65
23,78
24,57
25,50
26,48
27,39
28,45
29,28
30,34
31,25
32,19
33,33
34,27
35,24
36,27
37,21
38,24
39,17
40,24
41,16
42,26
43,16
44,14
45,11
46,10
47,12
48,11
49,15
50,10
51,14
52,11
53,10
54,8
55,6
56,5
57,6
58,12
59,6
60,7
61,12
62,9
63,8
64,5
66,7
67,7
68,13
70,5
71,7
72,8
73,3
74,9
76,3
77,5
80,10
82,5
84,5
85,6
88,9
89,8
94,5
95,3
96,4
97,3
99,4
100,3
101,7
102,3
103,4
104,3
105,3
108,4
110,1
111,3
114,3
115,2
116,4
117,1
120,4
121,3
122,2
123,2
124,3
125,5
126,6
127,6
128,6
130,4
133,2
134,3
135,4
136,2
137,5
139,3
140,3
141,6
143,2
146,3
152,2
154,2
155,2
157,5
159,3
160,3
161,1
162,1
164,4
165,2
168,5
177,2
182,1
183,3
185,3
190,1
194,3
196,1
197,1
203,5
209,2
214,2
220,1
226,1
230,2
231,2
233,1
246,1
248,2
252,4
256,2
262,2
266,1
270,2
277,2
283,2
287,1
296,1
331,1
338,1
348,1
361,1
391,2
401,1
405,1
432,1
437,2
443,1
471,1
516,1
527,1
539,1
597,1
660,1
689,1
724,1
813,1
834,1
853,1
864,1
876,1
892,1
906,1
948,1
1079,1
1137,1
1153,1
1178,1
1255,1
1284,1
1402,1
1440,1
1556,1
1741,1
1910,1
1979,1
1981,1
2223,1
2553,1
2563,1
2735,1
3444,1
6584,1
7518,1
8230,1
22458,1
24594,1
36206,1
