1818,1
1828,1
1833,1
1835,1
1836,1
1843,1
1848,1
1849,1
1850,1
1851,1
1852,1
1853,1
1856,3
1857,2
1858,2
1859,3
1860,1
1861,1
1862,2
1863,3
1864,2
1866,2
1867,3
1869,3
1870,2
1871,1
1872,4
1873,3
1874,5
1875,3
1876,1
1877,4
1880,6
1881,1
1882,2
1883,12
1884,6
1885,8
1886,6
1887,3
1888,22
1889,6
1890,6
1891,8
1892,10
1893,15
1894,14
1895,3
1896,17
1897,8
1898,13
1899,13
1900,3
1901,23
1902,18
1903,13
1904,41
1905,25
1906,20
1907,35
1908,16
1909,44
1910,41
1911,19
1912,72
1913,30
1914,39
1915,60
1916,30
1917,67
1918,66
1919,23
1920,106
1921,56
1922,71
1923,116
1924,53
1925,88
1926,104
1927,52
1928,132
1929,58
1930,82
1931,119
1932,63
1933,172
1934,149
1935,89
1936,265
1937,95
1938,175
1939,230
1940,127
1941,228
1942,202
1943,95
1944,285
1945,107
1946,189
1947,281
1948,129
1949,319
1950,278
1951,167
1952,558
1953,244
1954,309
1955,464
1956,249
1957,519
1958,376
1959,247
1960,618
1961,262
1962,381
1963,636
1964,398
1965,794
1966,750
1967,461
1968,1550
1969,684
1970,1001
1971,1390
1972,702
1973,1468
1974,1187
1975,757
1976,1865
1977,869
1978,1304
1979,1826
1980,1050
1981,2367
1982,2071
1983,1352
1984,4224
1985,1737
1986,2713
1987,3486
1988,1741
1989,3501
1990,2632
1991,1774
1992,4372
1993,1750
1994,2725
1995,3763
1996,2045
1997,4491
1998,3541
1999,2440
2000,7041
2001,2835
2002,4338
2003,5386
2004,2627
2005,5404
2006,3919
2007,2661
2008,6047
2009,2560
2010,3777
2011,5353
2012,2831
2013,6050
2014,5002
2015,3293
2016,9726
2017,4103
2018,5964
2019,7667
2020,3844
2021,7688
2022,5646
2023,3644
2024,8934
2025,3758
2026,5620
2027,8090
2028,4295
2029,9362
2030,7765
2031,5201
2032,15004
2033,6265
2034,9425
2035,12096
2036,6159
2037,11793
2038,8846
2039,5704
2040,13851
2041,5647
2042,8749
2043,11907
2044,6296
2045,13580
2046,10941
2047,7348
2048,20268
2049,8146
2050,11845
2051,14699
2052,7150
2053,14048
2054,9688
2055,6516
2056,14666
2057,5783
2058,8736
2059,11542
2060,5914
2061,12271
2062,9704
2063,6342
2064,16784
2065,6189
2066,9619
2067,11106
2068,5295
2069,10111
2070,6872
2071,4466
2072,9914
2073,3894
2074,5838
2075,7762
2076,3886
2077,8063
2078,6225
2079,4131
2080,10431
2081,4003
2082,6036
2083,7140
2084,3395
2085,6540
2086,4270
2087,2782
2088,6210
2089,2465
2090,3702
2091,4799
2092,2538
2093,4986
2094,4032
2095,2625
2096,6664
2097,2525
2098,3748
2099,4347
2100,2132
2101,4002
2102,2582
2103,1764
2104,3803
2105,1477
2106,2216
2107,2825
2108,1416
2109,2889
2110,2129
2111,1450
2112,3521
2113,1273
2114,1928
2115,2083
2116,982
2117,1810
2118,1168
2119,778
2120,1636
2121,591
2122,923
2123,1117
2124,522
2125,1081
2126,736
2127,554
2128,1206
2129,425
2130,677
2131,726
2132,329
2133,626
2134,353
2135,251
2136,574
2137,215
2138,307
2139,384
2140,217
2141,367
2142,322
2143,194
2144,439
2145,190
2146,260
2147,266
2148,157
2149,261
2150,194
2151,120
2152,216
2153,96
2154,123
2155,171
2156,94
2157,176
2158,144
2159,85
2160,229
2161,80
2162,124
2163,148
2164,55
2165,122
2166,78
2167,51
2168,108
2169,44
2170,75
2171,91
2172,39
2173,88
2174,68
2175,57
2176,89
2177,36
2178,58
2179,62
2180,22
2181,49
2182,23
2183,26
2184,50
2185,21
2186,31
2187,34
2188,27
2189,41
2190,20
2191,14
2192,35
2193,10
2194,12
2195,20
2196,7
2197,10
2198,9
2199,5
2200,10
2201,4
2202,5
2203,10
2204,1
2205,3
2206,3
2208,5
2210,2
2217,1
2269,1
2276,1
2282,1
2290,1
