1906,2
1920,1
1921,1
1923,5
1924,1
1925,2
1926,3
1928,2
1929,1
1930,1
1931,2
1932,1
1933,7
1934,1
1935,1
1936,8
1938,3
1939,10
1940,11
1941,8
1942,5
1943,4
1944,2
1947,5
1949,10
1950,6
1951,4
1952,24
1953,16
1954,14
1955,43
1956,19
1957,9
1958,8
1959,9
1960,17
1961,3
1962,2
1963,16
1964,12
1965,43
1966,27
1967,20
1968,139
1969,16
1970,51
1971,102
1972,28
1973,35
1974,41
1975,37
1976,57
1977,5
1978,9
1979,38
1980,25
1981,65
1982,39
1983,22
1984,213
1985,35
1986,71
1987,173
1988,47
1989,58
1990,62
1991,51
1992,92
1993,7
1994,13
1995,87
1996,38
1997,139
1998,56
1999,41
2000,406
2001,106
2002,140
2003,397
2004,130
2005,186
2006,155
2007,102
2008,284
2009,85
2010,107
2011,891
2012,677
2013,1816
2014,584
2015,348
2016,6184
2017,2311
2018,3144
2019,17591
2020,5982
2021,9354
2022,5011
2023,3387
2024,4774
2025,938
2026,1710
2027,9479
2028,5193
2029,13082
2030,2811
2031,1894
2032,20833
2033,5646
2034,7574
2035,20260
2036,6777
2037,8323
2038,4899
2039,3062
2040,4953
2041,520
2042,894
2043,3370
2044,4887
2045,17295
2046,12465
2047,8606
2048,95966
2049,24309
2050,36381
2051,85314
2052,22639
2053,18757
2054,34402
2055,22035
2056,50723
2057,4208
2058,7279
2059,27655
2060,26571
2061,89340
2062,40525
2063,25336
2064,231760
2065,46161
2066,67058
2067,126885
2068,41228
2069,45633
2070,66598
2071,42547
2072,85921
2073,8827
2074,14730
2075,43641
2076,18445
2077,37542
2078,14231
2079,9757
2080,141773
2081,16969
2082,24424
2083,35045
2084,16585
2085,35845
2086,18727
2087,12624
2088,29576
2089,2539
2090,5126
2091,7071
2092,2376
2093,1780
2094,605
2095,359
2096,6731
2097,978
2098,1382
2099,1730
2100,657
2101,1144
2102,511
2103,358
2104,586
2105,60
2106,112
2107,199
2108,89
2109,182
2110,80
2111,55
2112,680
2113,121
2114,179
2115,282
2116,100
2117,158
2118,157
2119,89
2120,202
2121,23
2122,31
2123,70
2124,49
2125,96
2126,55
2127,37
2128,357
2129,64
2130,96
2131,167
2132,67
2133,81
2134,93
2135,56
2136,101
2137,9
2138,22
2139,47
2140,25
2141,57
2142,29
2143,17
2144,251
2145,37
2146,56
2147,96
2148,33
2149,63
2150,52
2151,25
2152,56
2153,5
2154,7
2155,29
2156,16
2157,26
2158,11
2159,9
2160,99
2161,13
2162,21
2163,30
2164,13
2165,21
2166,17
2167,12
2168,19
2169,5
2170,6
2171,6
2172,3
2173,2
2175,2
2176,21
2177,4
2178,2
2179,4
2180,2
2181,3
2182,1
2183,3
2184,3
2185,1
2186,1
2278,1
