1815,1
1824,1
1830,2
1831,1
1834,2
1835,1
1838,1
1841,1
1842,1
1843,1
1846,1
1848,1
1851,1
1853,3
1856,3
1858,2
1859,2
1860,1
1861,1
1862,2
1863,2
1864,4
1865,3
1866,2
1867,5
1868,1
1869,5
1870,4
1871,3
1872,6
1873,1
1874,3
1875,7
1876,2
1877,8
1878,7
1879,2
1880,11
1881,4
1882,4
1883,14
1884,6
1885,15
1886,7
1887,5
1888,15
1889,6
1890,5
1891,21
1892,11
1893,12
1894,18
1895,11
1896,26
1897,18
1898,20
1899,29
1900,13
1901,36
1902,23
1903,21
1904,56
1905,25
1906,43
1907,48
1908,31
1909,60
1910,56
1911,31
1912,106
1913,42
1914,63
1915,96
1916,57
1917,112
1918,64
1919,47
1920,121
1921,59
1922,74
1923,110
1924,63
1925,157
1926,95
1927,71
1928,227
1929,95
1930,163
1931,202
1932,121
1933,217
1934,179
1935,110
1936,301
1937,100
1938,184
1939,233
1940,119
1941,233
1942,244
1943,172
1944,466
1945,215
1946,293
1947,458
1948,232
1949,483
1950,352
1951,213
1952,592
1953,244
1954,365
1955,552
1956,290
1957,601
1958,551
1959,415
1960,1138
1961,578
1962,849
1963,1314
1964,618
1965,1338
1966,1032
1967,742
1968,1773
1969,728
1970,1102
1971,1617
1972,835
1973,1809
1974,1745
1975,1091
1976,3361
1977,1566
1978,2330
1979,3392
1980,1607
1981,3292
1982,2453
1983,1685
1984,4162
1985,1670
1986,2417
1987,3483
1988,1859
1989,3661
1990,3134
1991,2108
1992,6043
1993,2665
1994,4031
1995,5451
1996,2619
1997,5252
1998,3806
1999,2605
2000,6215
2001,2422
2002,3577
2003,5041
2004,2556
2005,5265
2006,4501
2007,3000
2008,8490
2009,3683
2010,5552
2011,7801
2012,3760
2013,7527
2014,5560
2015,3726
2016,9008
2017,3422
2018,5158
2019,7435
2020,3792
2021,7650
2022,6818
2023,4601
2024,12965
2025,5695
2026,8658
2027,12161
2028,6019
2029,11837
2030,8533
2031,5861
2032,14203
2033,5406
2034,8181
2035,11345
2036,5795
2037,11745
2038,10127
2039,6833
2040,18212
2041,8207
2042,12022
2043,15757
2044,7524
2045,14757
2046,10522
2047,6974
2048,16110
2049,5968
2050,8751
2051,11621
2052,5861
2053,11594
2054,9459
2055,6257
2056,16408
2057,6762
2058,10174
2059,12767
2060,5912
2061,11000
2062,7628
2063,5068
2064,11543
2065,4043
2066,6123
2067,7932
2068,3905
2069,7847
2070,6195
2071,4133
2072,10783
2073,4316
2074,6559
2075,8040
2076,3755
2077,6975
2078,4818
2079,3192
2080,7186
2081,2523
2082,3735
2083,5007
2084,2433
2085,4983
2086,3862
2087,2580
2088,6470
2089,2778
2090,4011
2091,4899
2092,2305
2093,4406
2094,2970
2095,2047
2096,4420
2097,1551
2098,2287
2099,2958
2100,1408
2101,2873
2102,2243
2103,1446
2104,3735
2105,1492
2106,2137
2107,2541
2108,1156
2109,2092
2110,1447
2111,916
2112,1961
2113,682
2114,1031
2115,1157
2116,563
2117,1112
2118,849
2119,572
2120,1284
2121,531
2122,749
2123,870
2124,378
2125,726
2126,460
2127,303
2128,644
2129,219
2130,313
2131,433
2132,192
2133,379
2134,313
2135,186
2136,534
2137,199
2138,284
2139,366
2140,150
2141,297
2142,191
2143,137
2144,299
2145,111
2146,133
2147,197
2148,96
2149,166
2150,131
2151,89
2152,218
2153,91
2154,107
2155,170
2156,67
2157,138
2158,99
2159,61
2160,138
2161,38
2162,54
2163,98
2164,49
2165,78
2166,74
2167,48
2168,111
2169,31
2170,70
2171,73
2172,27
2173,62
2174,51
2175,36
2176,63
2177,24
2178,25
2179,27
2180,16
2181,34
2182,31
2183,14
2184,37
2185,17
2186,18
2187,16
2188,10
2189,13
2190,14
2191,5
2192,16
2193,2
2194,2
2195,10
2196,1
2197,5
2198,3
2199,3
2200,4
2201,3
2202,3
2203,4
2204,1
2210,1
2248,1
2264,1
2266,1
2268,1
2274,1
2284,1
