228,1
231,1
233,3
234,3
236,7
237,10
238,6
239,7
240,10
241,8
242,10
243,13
244,10
245,15
246,11
247,15
248,18
249,21
250,13
251,19
252,24
253,17
254,34
255,29
256,45
257,43
258,44
259,43
260,48
261,50
262,68
263,63
264,75
265,72
266,75
267,109
268,143
269,192
270,192
271,245
272,357
273,471
274,540
275,802
276,1486
277,3509
278,7268
279,10996
280,12343
281,7113
282,2973
283,1297
284,878
285,592
286,499
287,385
288,324
289,265
290,206
291,214
292,182
293,167
294,111
295,106
296,102
297,88
298,66
299,76
300,67
301,51
302,42
303,38
304,36
305,28
306,26
307,23
308,29
309,21
310,18
311,10
312,18
313,17
314,8
315,13
316,10
317,11
318,7
319,7
320,6
321,6
322,7
323,2
324,5
325,2
326,5
328,1
331,1
335,1
