2035,1
2037,1
2039,1
2051,12
2052,7
2053,3
2065,1
2067,44
2068,12
2069,15
2070,2
2081,9
2082,7
2083,104
2084,35
2085,35
2087,3
2097,5
2098,7
2099,32
2100,22
2101,33
2102,2
2103,2
2105,1
2106,1
2107,3
2108,5
2110,3
2112,4
2113,7
2114,23
2115,103
2116,36
2117,94
2118,16
2119,10
2123,37
2124,11
2125,1
2126,3
2127,1
2128,23
2129,516
2130,871
2131,11222
2132,3487
2133,4825
2134,423
2135,373
2136,14
2137,40
2138,65
2139,1031
2140,318
2141,19
2142,73
2143,65
2144,613
2145,6574
2146,11530
2147,71097
2148,22506
2149,17887
2150,1015
2151,879
2152,9
2153,37
2154,44
2155,912
2156,305
2157,11
2158,65
2159,58
2160,542
2161,2178
2162,4543
2163,4097
2164,1104
2165,281
2166,9
2167,4
2169,1
2171,9
2172,3
2175,1
2176,5
2177,37
2178,61
2179,353
2180,74
2181,80
2182,4
2183,6
2187,9
2188,1
2192,4
2193,10
2194,21
2195,35
2196,14
2197,5
2258,1
2259,9
2260,1
2261,3
2273,4
2274,3
2275,19
2276,8
2277,11
2290,1
2291,3
2292,4
2293,1
