2003,1
2005,1
2019,1
2020,1
2021,1
2033,1
2035,3
2037,1
2039,1
2050,2
2051,19
2052,5
2053,9
2054,1
2055,6
2056,1
2059,3
2064,5
2065,5
2066,9
2067,61
2068,19
2069,54
2070,12
2071,11
2072,2
2074,2
2075,12
2076,4
2077,1
2078,1
2079,2
2080,30
2081,25
2082,47
2083,171
2084,79
2085,144
2086,20
2087,21
2088,18
2089,3
2090,12
2091,57
2092,10
2093,8
2094,12
2095,2
2096,67
2097,59
2098,99
2099,292
2100,169
2101,297
2102,82
2103,56
2104,62
2105,18
2106,43
2107,235
2108,61
2109,39
2110,34
2111,23
2112,327
2113,209
2114,340
2115,1309
2116,562
2117,1248
2118,324
2119,224
2120,191
2121,84
2122,110
2123,762
2124,222
2125,158
2126,150
2127,82
2128,1647
2129,1228
2130,1935
2131,9527
2132,4455
2133,9066
2134,2265
2135,1611
2136,1303
2137,433
2138,688
2139,4585
2140,1323
2141,801
2142,725
2143,494
2144,8756
2145,5730
2146,8853
2147,27101
2148,11544
2149,18245
2150,3423
2151,2426
2152,1922
2153,505
2154,757
2155,3867
2156,1042
2157,342
2158,311
2159,213
2160,3001
2161,1753
2162,2947
2163,5627
2164,2135
2165,2480
2166,479
2167,371
2168,257
2169,86
2170,113
2171,524
2172,171
2173,66
2174,56
2175,42
2176,522
2177,328
2178,505
2179,1168
2180,454
2181,688
2182,173
2183,101
2184,60
2185,31
2186,32
2187,150
2188,44
2189,21
2190,14
2191,20
2192,142
2193,93
2194,137
2195,222
2196,83
2197,73
2198,13
2199,11
2200,9
2201,1
2202,5
2203,17
2204,5
2209,1
2210,3
2211,1
2212,1
2256,1
2259,3
2260,4
2261,7
2262,1
2263,3
2264,2
2267,2
2271,3
2272,5
2273,4
2274,6
2275,16
2276,5
2277,5
2279,1
2280,1
2283,1
2288,3
2289,1
2293,1
